,g,div,ga,gb,gc,gd,sa1,sa2,sb1,sb2,sc1,sc2,sd1,sd2,invader,native,relative,total
1_1,1,1,485.3408775,0,0,0,485.3408775,0,0,0,0,0,0,0,156.4766892,485.3408775,0.243802441,641.8175667
1_2,1,1,3637.875869,0,0,0,0,3637.875869,0,0,0,0,0,0,2.668892562,3637.875869,0.000733103,3640.544762
1_3,1,1,0,923.4933461,0,0,0,0,923.4933461,0,0,0,0,0,31.46600873,923.4933461,0.032950103,954.9593548
1_4,1,1,0,1530.542571,0,0,0,0,0,1530.542571,0,0,0,0,620.2452327,1530.542571,0.288380486,2150.787804
1_5,1,1,0,0,11.43257831,0,0,0,0,0,11.43257831,0,0,0,512.8487525,11.43257831,0.97819381,524.2813308
1_6,1,1,0,0,50.96843537,0,0,0,0,0,0,50.96843537,0,0,1044.192203,50.96843537,0.953460311,1095.160638
1_7,1,1,0,0,0,900.875,0,0,0,0,0,0,900.875,0,725.3851215,900.875,0.446044954,1626.260122
1_8,1,1,0,0,0,9.4076951,0,0,0,0,0,0,0,9.4076951,1130.677025,9.4076951,0.991748249,1140.08472
2_1_1,2,2,190.6788556,482.6334328,0,0,190.6788556,0,482.6334328,0,0,0,0,0,968.2229158,673.3122884,0.589827689,1641.535204
2_1_2,2,2,74.48033403,243.7700526,0,0,74.48033403,0,243.7700526,0,0,0,0,0,803.1373176,318.2503866,0.716199504,1121.387704
2_1_3,2,2,168.4264368,419.3789776,0,0,168.4264368,0,419.3789776,0,0,0,0,0,105.1088488,587.8054144,0.151690987,692.9142632
2_2_1,2,2,173.4306355,0,6.305074627,0,173.4306355,0,0,0,6.305074627,0,0,0,554.5806,179.7357101,0.75523394,734.3163101
2_2_2,2,2,0.218012422,0,2.938923767,0,0.218012422,0,0,0,2.938923767,0,0,0,360.7403384,3.156936189,0.99132465,363.8972746
2_2_3,2,2,5.88401487,0,3.85024735,0,5.88401487,0,0,0,3.85024735,0,0,0,1351.984172,9.73426222,0.992851487,1361.718434
2_3_1,2,2,3470.381787,0,0,42.09142857,0,3470.381787,0,0,0,0,42.09142857,0,170.8998394,3512.473216,0.046397646,3683.373055
2_3_2,2,2,2081.567726,0,0,0.218012422,0,2081.567726,0,0,0,0,0.218012422,0,108.723767,2081.785738,0.049634008,2190.509505
2_3_3,2,2,1352.92,0,0,0.218012422,0,1352.92,0,0,0,0,0.218012422,0,42.06560669,1353.138012,0.030150156,1395.203619
2_4_1,2,2,0,1004.850446,0.218012422,0,0,0,1004.850446,0,0.218012422,0,0,0,5.337785124,1005.068458,0.005282811,1010.406244
2_4_2,2,2,0,580.4432995,3.467384615,0,0,0,580.4432995,0,3.467384615,0,0,0,284.657586,583.9106841,0.327731965,868.5682701
2_4_3,2,2,0,492.476314,0.218012422,0,0,0,492.476314,0,0.218012422,0,0,0,797.4585947,492.6943264,0.618111684,1290.152921
2_5_1,2,2,0,417.3655658,0,88.02444444,0,0,0,417.3655658,0,0,88.02444444,0,1619.393251,505.3900102,0.762145147,2124.783261
2_5_2,2,2,0,1401.533757,0,296.5361823,0,0,0,1401.533757,0,0,296.5361823,0,1217.552311,1698.069939,0.417596042,2915.62225
2_5_3,2,2,0,794.4983259,0,29.72450626,0,0,0,794.4983259,0,0,29.72450626,0,2.668892562,824.2228322,0.00322762,826.8917247
2_6_1,2,2,0,0,82.33677233,50.30738144,0,0,0,0,0,82.33677233,0,50.30738144,200.9518189,132.6441538,0.60238083,333.5959727
2_6_2,2,2,0,0,48.76396015,17.822,0,0,0,0,0,48.76396015,0,17.822,289.9714541,66.58596015,0.813253189,356.5574143
2_6_3,2,2,0,0,14.10408964,51.8461676,0,0,0,0,0,14.10408964,0,51.8461676,2575.363445,65.95025724,0.975031267,2641.313702
4_1_1,2,4,1469.199264,1251.884156,0,0,261.938885,1207.260379,695.4650769,556.4190792,0,0,0,0,490.2040656,2721.08342,0.152650321,3211.287486
4_1_2,2,4,2401.534852,209.9334134,0,0,0.218012422,2401.31684,43.87000795,166.0634054,0,0,0,0,20.19166873,2611.468266,0.007672598,2631.659935
4_1_3,2,4,1533.88242,765.3691706,0,0,130.2863256,1403.596094,527.7766145,237.5925561,0,0,0,0,380.2095611,2299.25159,0.14189777,2679.461151
4_2_1,2,4,2270.626713,0,5.041029182,0,66.17865169,2204.448061,0,0,0.218012422,4.82301676,0,0,1322.811816,2275.667742,0.367602982,3598.479558
4_2_2,2,4,0.436024845,0,73.75787717,0,0.218012422,0.218012422,0,0,0.218012422,73.53986475,0,0,2133.18607,74.19390202,0.966388251,2207.379972
4_2_3,2,4,1154.95628,0,34.09463247,0,298.71,856.24628,0,0,14.08125428,20.0133782,0,0,1185.234777,1189.050912,0.499196361,2374.285689
4_3_1,2,4,1851.667085,0,0,99.02001242,0.218012422,1851.449073,0,0,0,0,98.802,0.218012422,680.5693374,1950.687098,0.258648047,2631.256435
4_3_2,2,4,4290.749727,0,0,104.7388164,91.69375796,4199.05597,0,0,0,0,104.520804,0.218012422,2.668892562,4395.488544,0.000606821,4398.157437
4_3_3,2,4,392.75642,0,0,26.41564275,0.218012422,392.5384076,0,0,0,0,26.19763033,0.218012422,9.104100946,419.1720628,0.021257548,428.2761637
4_4_1,2,4,0,10221.21793,0.436024845,0,0,0,9442.946972,778.2709547,0.218012422,0.218012422,0,0,33.11,10221.65395,0.003228743,10254.76395
4_4_2,2,4,0,1274.436825,24.57788001,0,0,0,940.0546136,334.3822114,5.016408669,19.56147134,0,0,281.1210114,1299.014705,0.177909409,1580.135716
4_4_3,2,4,0,960.3270743,0.436024845,0,0,0,1.7043,958.6227743,0.218012422,0.218012422,0,0,697.4643757,960.7630991,0.420608382,1658.227475
4_5_1,2,4,0,559.9293222,0,0.436024845,0,0,8.6697,551.2596222,0,0,0.218012422,0.218012422,531.6500227,560.365347,0.486852143,1092.01537
4_5_2,2,4,0,394.0326849,0,17.20416627,0,0,6.5715,387.4611849,0,0,16.98615385,0.218012422,1219.944565,411.2368512,0.747890181,1631.181416
4_5_3,2,4,0,851.2993023,0,30.12285714,0,0,688.1990023,163.1003,0,0,0.218012422,29.90484472,1010.356862,881.4221594,0.534077633,1891.779021
4_6_1,2,4,0,0,33.49793078,80.75771791,0,0,0,0,3.193397129,30.30453365,80.53970549,0.218012422,1737.827478,114.2556487,0.938309654,1852.083127
4_6_2,2,4,0,0,64.7089441,25.88001242,0,0,0,0,0.218012422,64.49093168,25.662,0.218012422,1884.92192,90.58895652,0.954144036,1975.510877
4_6_3,2,4,0,0,47.01882529,321.4551102,0,0,0,0,0.218012422,46.80081287,320.5830605,0.872049689,1628.305846,368.4739355,0.815465912,1996.779781
8_1_1,4,8,4827.060517,732.5100124,15.40616026,31.96095709,321.8288112,4505.231706,732.292,0.218012422,2.948433735,12.45772652,25.70473068,6.256226415,385.9537693,5606.937647,0.064401929,5992.891416
8_1_2,4,8,1636.195012,0.436024845,0.436024845,2.141928506,0.218012422,1635.976999,0.218012422,0.218012422,0.218012422,0.218012422,0.218012422,1.923916084,260.4404766,1639.20899,0.137099229,1899.649466
8_1_3,4,8,1707.334506,99.15641242,0.436024845,0.436024845,744.2829336,963.0515727,98.9384,0.218012422,0.218012422,0.218012422,0.218012422,0.218012422,899.0609293,1807.362968,0.332195164,2706.423898
