,diversity,div
1_1,div1,1
1_2,div1,1
1_3,div1,1
1_4,div1,1
1_5,div1,1
1_6,div1,1
1_7,div1,1
1_8,div1,1
2_1_1,div2,2
2_1_2,div2,2
2_1_3,div2,2
2_2_1,div2,2
2_2_2,div2,2
2_2_3,div2,2
2_3_1,div2,2
2_3_2,div2,2
2_3_3,div2,2
2_4_1,div2,2
2_4_2,div2,2
2_4_3,div2,2
2_5_1,div2,2
2_5_2,div2,2
2_5_3,div2,2
2_6_1,div2,2
2_6_2,div2,2
2_6_3,div2,2
4_1_1,div4,4
4_1_2,div4,4
4_1_3,div4,4
4_2_1,div4,4
4_2_2,div4,4
4_2_3,div4,4
4_3_1,div4,4
4_3_2,div4,4
4_3_3,div4,4
4_4_1,div4,4
4_4_2,div4,4
4_4_3,div4,4
4_5_1,div4,4
4_5_2,div4,4
4_5_3,div4,4
4_6_1,div4,4
4_6_2,div4,4
4_6_3,div4,4
8_1_1,div8,8
8_1_2,div8,8
8_1_3,div8,8
